model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
ifevalg-opd,singlev_layers10-20_lr3e-1,15,52,79.4218978881836,0.9995768070220947,0.9969709468822853,73.0530014038086,134.68305963277817,0.542406755556283,0.75
ifevalg-opd,singlev_layers10-20_lr3e-1,16,52,80.6830825805664,0.9995743632316589,0.9970581461401546,74.17635345458984,135.57537198066711,0.5471226253774713,0.75
ifevalg-opd,singlev_layers10-20_lr3e-1,17,52,83.06266021728516,0.9995709657669067,0.9971922729529586,75.81279754638672,137.9919078350067,0.5494003143795511,0.75
ifevalg-opd,singlev_layers10-20_lr3e-1,18,52,83.97486114501953,0.9994829893112183,0.9970385443930533,77.16651916503906,145.12244522571564,0.5317338682174105,0.7692307692307693
ifevalg-opd,singlev_layers10-20_lr3e-1,19,52,86.31678771972656,0.9993563294410706,0.9964129340414908,81.15727233886719,158.2348711490631,0.5128911961663244,0.7884615384615384
ifevalg-opd,singlev_layers10-20_lr3e-1,20,52,92.10350036621094,0.9992854595184326,0.9960245326453564,87.67698669433594,170.73196041584015,0.5135358750686579,0.7884615384615384
ifevalg-opd,singlev_layers10-20_lr5e-3,10,8,2.0948760509490967,0.9989091157913208,0.9969794409615653,1.8221739530563354,1.8685356378555298,0.975188225549499,0.125
ifevalg-opd,singlev_layers10-20_lr5e-3,11,8,2.096433162689209,0.9988939166069031,0.9971290486199516,1.8236215114593506,1.8696570545434952,0.9753775469291159,0.125
ifevalg-opd,singlev_layers10-20_lr5e-3,12,8,2.0884180068969727,0.998824417591095,0.9970367550849915,1.817183017730713,1.8658926635980606,0.9738947224469926,0.25
ifevalg-opd,singlev_layers10-20_lr5e-3,13,8,2.080988645553589,0.9987100958824158,0.9969913022858756,1.8109785318374634,1.8636261522769928,0.9717499025353319,0.25
ifevalg-opd,singlev_layers10-20_lr5e-3,14,8,2.0720250606536865,0.998627781867981,0.9970774735723223,1.8013083934783936,1.8574129343032837,0.9697942553383074,0.25
ifevalg-opd,singlev_layers10-20_lr5e-3,15,8,2.0811941623687744,0.9986016154289246,0.9969975352287292,1.811441421508789,1.866588056087494,0.9704559158627125,0.25
ifevalg-opd,singlev_layers10-20_lr5e-3,16,8,2.084667682647705,0.9986535310745239,0.9971546530723572,1.8134247064590454,1.8669358640909195,0.9713374419222855,0.25
ifevalg-opd,singlev_layers10-20_lr5e-3,17,8,2.0887210369110107,0.9986438751220703,0.9970114060810634,1.8194769620895386,1.8740025609731674,0.970904202577336,0.25
